Player Name,scene,trueskill,tourneys,games,wins,losses,win%,GDC1,KQXV,BB1,GDC2,Coro17s,KQXX,Camp17,BB2,Coro17f,WC1,CC1,KQC2,GDC3,BnB2,MCS-MPLS,CBM2018,Coro18s,MCS-CHI,SS1,KQXXV,MCS_KC,MGF1,HH1,MCS-CBUS,BB3,CHA_HT,WH1,WC2,CC2,QGW19,KQC3,GDC4,BnB3,MAD420,Coro19,GFT,SS2,KQ30,HF19,Camp19,MGF2,ECC1,BBrawl4,DSM1,BB4,HH2,WH2,WC3,CC3,QGW20,KQC4,HCC21,CSSwat1,GDCV,BBR,GDC1,KQXV,BB1,GDC2,Coro17s,KQXX,Camp17,BB2,Coro17f,WC1,CC1,KQC2,GDC3,BnB2,MCS-MPLS,CBM2018,Coro18s,MCS-CHI,SS1,KQXXV,MCS_KC,MGF1,HH1,MCS-CBUS,BB3,CHA_HT,WH1,WC2,CC2,QGW19,KQC3,GDC4,BnB3,MAD420,Coro19,GFT,SS2,KQ30,HF19,Camp19,MGF2,ECC1,BBrawl4,DSM1,BB4,HH2,WH2,WC3,CC3,QGW20,KQC4,HCC21,CSSwat1,GDCV,BBR
3 Dollar PBRs 4,,-2.1837097289649847,1,12,1,11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QGW19 / 3 Dollar PBRs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847
3 Dollar PBRs 5,,-2.1837097289649847,1,12,1,11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QGW19 / 3 Dollar PBRs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847,-2.1837097289649847
"4:35 blaze it...Sorry, traffic was crazy 10",,-14.701389484231147,1,24,1,23,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAD420 / 4:35 blaze it...Sorry, traffic was crazy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147
"4:35 blaze it...Sorry, traffic was crazy 5",,-14.701389484231147,1,24,1,23,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAD420 / 4:35 blaze it...Sorry, traffic was crazy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147,-14.701389484231147
Aaron,KC,5.187706613652086,1,10,3,7,0.30,,,,,,,,,,,,,,,,,,,,,MCS_KC / @therealfreddiemercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086,5.187706613652086
Aaron Altman,LA,-1.1618167857862431,2,21,3,18,0.14,,,,,,,,,,,,,,,,,,,,,,,HH1 / TBD,,,,,,,,,,,,,,,,,Camp19 / Metsu Mat ✌️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,0.5635659976438241,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431,-1.1618167857862431
Aaron Bobby,JAX,18.41653869594338,5,143,59,84,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,WH1 / Savage Patch Kids,,,QGW19 / Garbage Day,,,,,,,,,,,,,,,BB4 / Dumpster (J)Divers,,WH2 / Dumpster (J) Divers,,,QGW20 / Dumpster (J) Divers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.625380313359077,12.625380313359077,12.625380313359077,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,11.612184829124885,15.259362794621104,15.259362794621104,16.31503124953266,16.31503124953266,16.31503124953266,18.41653869594338,18.41653869594338,18.41653869594338,18.41653869594338,18.41653869594338,18.41653869594338
Aaron Carter,CLT,2.191492253100101,1,28,2,26,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB4 / Sydney's Side Bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101,2.191492253100101
Aaron Dimet,SF,11.319009463054432,1,28,15,13,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC3 / Chill Chill Chill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.319009463054432,11.319009463054432,11.319009463054432,11.319009463054432,11.319009463054432,11.319009463054432,11.319009463054432
Aaron Goldberg,CHI,27.319257444659083,27,805,543,262,0.67,GDC1 / SPORTS (CHI),KQXV / Pizza on my Nikes,BB1 / Hot Dogs,,Coro17s / Queen Eggs & Fam,KQXX / CREEPS,Camp17 / #xXxDingersOutxXx,BB2 / Spyglass,,,CC1 / Sedona My Face,KQC2 / Missed Connections,,BnB2 / Bonus Dab,,,Coro18s / 2 Hot 2 Dogs,MCS-CHI / Crutch City,,KQXXV / Pizza on my Nikes,MCS_KC / Jazz!,,,MCS-CBUS / Ninny Bong,BB3 / The Yung Knucks,,,,CC2 / Sedona MySpace,,KQC3 / Mr. Tenders,GDC4 / Surprise!,BnB3 / A Few Good Men: You Can't Handle the Buth!,,Coro19 / King Me,,,KQ30 / The Yung Knuxxx,,,MGF2 / Big Fair Don't Care,,,,BB4 / Spicy Milk,,,,CC3 / Rise Up Lights,,KQC4 / 2 Spicy 2 Milk,HCC21 / Simp Chimps,,,,13.152207167008282,21.32814666056076,26.439638288629745,26.439638288629745,26.836397135448614,28.875365402086825,28.220255372987253,28.607975588932327,28.607975588932327,28.607975588932327,29.33176765687088,29.1507170259013,29.1507170259013,30.218454211679408,30.218454211679408,30.218454211679408,30.610708684812188,29.67042519612273,29.67042519612273,30.013398354302133,28.101937155451047,28.101937155451047,28.101937155451047,29.164914646849173,30.098315455484112,30.098315455484112,30.098315455484112,30.098315455484112,29.152982664117044,29.152982664117044,29.10752177676591,29.691026065897418,28.283987007964623,28.283987007964623,29.16795700573094,29.16795700573094,29.16795700573094,28.547689382451114,28.547689382451114,28.547689382451114,28.31211483937871,28.31211483937871,28.31211483937871,28.31211483937871,27.64237139169451,27.64237139169451,27.64237139169451,27.64237139169451,27.576370054221652,27.576370054221652,27.546893218521024,27.319257444659083,27.319257444659083,27.319257444659083,27.319257444659083
