tournament,bracket,team1name,team2name,team1wins,team2wins,time
QGW19,Group1,Laser Wolf,A Stinch In Time,1,2,2019-02-09T11:29:13-0500
QGW19,Group1,¡mucha lucha!,Wannabees,3,0,2019-02-09T11:29:13-0500
QGW19,Group1,A Stinch In Time,¡mucha lucha!,2,1,2019-02-09T11:29:13-0500
QGW19,Group1,Hannibal Nectar,Laser Wolf,0,3,2019-02-09T11:29:13-0500
QGW19,WC,Garbage Day,Hannibal Nectar,2,1,2019-02-09T16:13:42-0500
QGW19,WC,Gargleblasters,Garbage Day,1,2,2019-02-09T16:13:42-0500
QGW19,WC,Hannibal Nectar,Gargleblasters,0,2,2019-02-09T16:13:42-0500
QGW19,Group2,Drinking Required,Hannibal Nectar,3,0,2019-02-09T10:02:32-0800
QGW19,Group2,Beepublic Of Texas,Garbage Day,2,1,2019-02-09T10:02:32-0800
QGW19,Group2,Hannibal Nectar,Beepublic Of Texas,0,3,2019-02-09T10:02:32-0800
QGW19,Group2,Florida Man,Drinking Required,1,2,2019-02-09T10:02:32-0800
QGW19,Group2,Beepublic Of Texas,Florida Man,3,0,2019-02-09T10:02:32-0800
QGW19,Group2,Garbage Day,Hannibal Nectar,3,0,2019-02-09T10:02:32-0800
QGW19,Group2,Florida Man,Garbage Day,3,0,2019-02-09T10:02:32-0800
QGW19,Group2,Drinking Required,Beepublic Of Texas,2,1,2019-02-09T10:02:32-0800
QGW19,Group2,Garbage Day,Drinking Required,0,3,2019-02-09T10:02:32-0800
QGW19,Group2,Hannibal Nectar,Florida Man,0,3,2019-02-09T10:02:32-0800
QGW19,Group3,Bonus Salt,Live Laugh Love,3,0,2019-02-09T16:43:50-0300
QGW19,Group3,3 Dollar PBRs,Gargleblasters,1,2,2019-02-09T16:43:50-0300
QGW19,Group3,Live Laugh Love,3 Dollar PBRs,3,0,2019-02-09T16:43:50-0300
QGW19,Group3,🔥F🔥,Bonus Salt,0,3,2019-02-09T16:43:50-0300
QGW19,Group3,3 Dollar PBRs,🔥F🔥,0,3,2019-02-09T16:43:50-0300
QGW19,Group3,Gargleblasters,Live Laugh Love,0,3,2019-02-09T16:43:50-0300
QGW19,Group3,🔥F🔥,Gargleblasters,3,0,2019-02-09T16:43:50-0300
QGW19,Group3,Bonus Salt,3 Dollar PBRs,3,0,2019-02-09T16:43:50-0300
QGW19,Group3,Gargleblasters,Bonus Salt,0,3,2019-02-09T16:43:50-0300
QGW19,Group3,Live Laugh Love,🔥F🔥,0,3,2019-02-09T16:43:50-0300
QGW20,KO,Buth ✌️ bbbbbs,Dicey Dives,3,0,2020-02-08T16:01:02-0500
QGW20,KO,Too Many Queens,Dumpster (J) Divers,3,2,2020-02-08T16:01:02-0500
QGW20,KO,Chattanooga's Beach Day,Buth ✌️ bbbbbs,3,1,2020-02-08T16:13:03-0500
QGW20,KO,"Haha, JK, unless...? 👀",Arguably,2,3,2020-02-08T16:01:02-0500
QGW20,KO,"S,FL",Too Many Queens,3,0,2020-02-08T16:40:11-0500
QGW20,KO,Tajin,Yes Beer No Jerks,3,0,2020-02-08T16:01:02-0500
QGW20,KO,Chattanooga's Beach Day,Arguably,0,3,2020-02-08T17:26:17-0500
QGW20,KO,"S,FL",Tajin,1,3,2020-02-08T17:36:43-0500
QGW20,KO,Arguably,Tajin,1,3,2020-02-08T19:17:17-0500
QGW20,KO,Yes Beer No Jerks,Dicey Dives,1,3,2020-02-08T17:10:42-0500
QGW20,KO,"Haha, JK, unless...? 👀",Dumpster (J) Divers,3,0,2020-02-08T16:58:23-0500
QGW20,KO,Too Many Queens,Dicey Dives,3,0,2020-02-08T18:15:51-0500
QGW20,KO,Buth ✌️ bbbbbs,"Haha, JK, unless...? 👀",3,2,2020-02-08T17:52:53-0500
QGW20,KO,Chattanooga's Beach Day,Too Many Queens,3,1,2020-02-08T19:06:44-0500
QGW20,KO,"S,FL",Buth ✌️ bbbbbs,3,0,2020-02-08T19:17:17-0500
QGW20,KO,Chattanooga's Beach Day,"S,FL",1,3,2020-02-08T19:55:16-0500
QGW20,KO,Arguably,"S,FL",2,3,2020-02-08T20:25:26-0500
QGW20,KO,Tajin,"S,FL",2,3,2020-02-08T20:42:41-0500
QGW20,KO,"S,FL",Tajin,2,3,2020-02-08T21:01:10-0500
QGW20,WC,I Can't Bee-lieve It's Not Meat Map,Hannibal Nectar,0,2,2020-02-08T15:31:59-0400
QGW20,WC,Dumpster (J) Divers,big🦒,2,1,2020-02-08T15:31:59-0400
QGW20,WC,FRESH Nation,Both Teams,0,2,2020-02-08T15:31:59-0400
QGW20,WC,Dicey Dives,Pussy Power,2,0,2020-02-08T15:31:59-0400
QGW20,WC,Hannibal Nectar,Dumpster (J) Divers,0,2,2020-02-08T15:52:00-0400
QGW20,WC,Both Teams,Dicey Dives,1,2,2020-02-08T16:06:11-0400
QGW20,WC,Dumpster (J) Divers,Dicey Dives,1,2,2020-02-08T16:25:14-0400
QGW20,Group1,I Can't Bee-lieve It's Not Meat Map,FRESH Nation,2,1,2020-02-08T10:08:00-0500
QGW20,Group1,Chattanooga's Beach Day,Buth ✌️ bbbbbs,3,0,2020-02-08T10:08:00-0500
QGW20,Group1,Buth ✌️ bbbbbs,I Can't Bee-lieve It's Not Meat Map,3,0,2020-02-08T10:08:00-0500
QGW20,Group1,FRESH Nation,Chattanooga's Beach Day,0,3,2020-02-08T10:08:00-0500
QGW20,Group1,Chattanooga's Beach Day,I Can't Bee-lieve It's Not Meat Map,3,0,2020-02-08T10:08:01-0500
QGW20,Group1,FRESH Nation,Buth ✌️ bbbbbs,1,2,2020-02-08T10:08:01-0500
QGW20,Group2,Dumpster (J) Divers,Arguably,1,2,2020-02-08T11:05:23-0500
QGW20,Group2,Dicey Dives,Tajin,0,3,2020-02-08T11:05:23-0500
QGW20,Group2,Tajin,Dumpster (J) Divers,2,1,2020-02-08T11:05:23-0500
QGW20,Group2,Arguably,Dicey Dives,3,0,2020-02-08T11:05:23-0500
QGW20,Group2,Dicey Dives,Dumpster (J) Divers,0,3,2020-02-08T11:05:23-0500
QGW20,Group2,Arguably,Tajin,1,2,2020-02-08T11:05:23-0500
QGW20,Group3,Pussy Power,Yes Beer No Jerks,0,3,2020-02-08T19:06:59+0200
QGW20,Group3,"S,FL",big🦒,3,0,2020-02-08T19:06:59+0200
QGW20,Group3,big🦒,Pussy Power,2,1,2020-02-08T19:06:59+0200
QGW20,Group3,Yes Beer No Jerks,"S,FL",1,2,2020-02-08T19:06:59+0200
QGW20,Group3,"S,FL",Pussy Power,3,0,2020-02-08T19:06:59+0200
QGW20,Group3,Yes Beer No Jerks,big🦒,1,2,2020-02-08T19:06:59+0200
QGW20,Group4,Hannibal Nectar,"Haha, JK, unless...? 👀",1,2,2020-02-08T12:12:15-0600
QGW20,Group4,Both Teams,Too Many Queens,0,3,2020-02-08T12:12:15-0600
QGW20,Group4,Too Many Queens,Hannibal Nectar,1,2,2020-02-08T12:12:15-0600
QGW20,Group4,"Haha, JK, unless...? 👀",Both Teams,3,0,2020-02-08T12:12:15-0600
QGW20,Group4,Both Teams,Hannibal Nectar,2,1,2020-02-08T12:12:15-0600
QGW20,Group4,"Haha, JK, unless...? 👀",Too Many Queens,2,1,2020-02-08T12:12:15-0600
BBrawl4,KO,Bad Boys 4,Maria & the Boys,0,3,2019-09-07T17:55:36-0400
BBrawl4,KO,The BB4 After Party Is At Todd's House,The Fire Nation,3,1,2019-09-07T17:55:36-0400
