Tournament,Bracket,Team 1,Team 2,Team 1 wins,Team 2 wins,Time
KQC3,WC,Fyre Fest 2,Law & Order,3,0,2019-02-24T12:04:00-05:00
KQC3,WC,Only Kinda Safe,Bae Caught Me Drippin',3,0,2019-02-24T12:05:00-05:00
KQC3,WC,Vertical Scroll,Anti Social Snail Club,3,0,2019-02-24T12:06:00-05:00
KQC3,WC,Shadow Scene,Ol’ Dirty Berries,3,1,2019-02-24T12:07:00-05:00
KQC3,WC,Bae Caught Me Drippin',WE BEE SWARMIN’ FOR YA,3,1,2019-02-24T12:08:00-05:00
KQC3,WC,Law & Order,The Notorious B.E.E.,3,1,2019-02-24T12:09:00-05:00
KQC3,WC,Vertical Scroll,Luibee's Mansion,3,1,2019-02-24T12:10:00-05:00
KQC3,WC,Fyre Fest 2,Bye,3,1,2019-02-24T12:11:00-05:00
KQC3,WC,Anti Social Snail Club,BarBEE Dream Gate,3,0,2019-02-24T12:12:00-05:00
KQC3,WC,LaCroix Super Drinkers,brunch skunks,3,1,2019-02-24T12:13:00-05:00
KQC3,WC,Only Kinda Safe,Post Meta Malone,3,0,2019-02-24T12:14:00-05:00
KQC3,WC,Ol’ Dirty Berries,Dingle Berries,3,0,2019-02-24T12:15:00-05:00
KQC3,WC,WE BEE SWARMIN’ FOR YA,TEAM NAME,3,1,2019-02-24T12:16:00-05:00
KQC3,KO,Keep Yourself Alive,Mr. Tenders,4,2,2019-02-24T12:17:00-05:00
KQC3,KO,Mr. Tenders,Princes Among Boys,3,0,2019-02-24T12:18:00-05:00
KQC3,KO,Mr. Tenders,Seattle BooperSonics,3,2,2019-02-24T12:19:00-05:00
KQC3,KO,Keep Yourself Alive,Princes Among Boys,3,2,2019-02-24T12:20:00-05:00
KQC3,KO,Seattle BooperSonics,PUERTO RICO,3,1,2019-02-24T12:21:00-05:00
KQC3,KO,Princes Among Boys,Seattle BooperSonics,3,0,2019-02-24T12:22:00-05:00
KQC3,KO,PUERTO RICO,MATH,3,2,2019-02-24T12:23:00-05:00
KQC3,KO,Mr. Tenders,Bonus Nap,3,1,2019-02-24T12:24:00-05:00
KQC3,KO,Mr. Tenders,fridge genie,3,0,2019-02-24T12:25:00-05:00
KQC3,KO,PUERTO RICO,"We put the ""i"" in CLT",3,1,2019-02-24T12:26:00-05:00
KQC3,KO,Keep Yourself Alive,Bonus Nap,3,0,2019-02-24T12:27:00-05:00
KQC3,KO,Mr. Tenders,Vertical Scroll,3,0,2019-02-24T12:28:00-05:00
KQC3,KO,MATH,Only Kinda Safe,3,0,2019-02-24T12:29:00-05:00
KQC3,KO,fridge genie,Fyre Fest 2,3,2,2019-02-24T12:30:00-05:00
KQC3,KO,Seattle BooperSonics,Mr. Tenders,3,2,2019-02-24T12:31:00-05:00
