Player Name,scene,trueskill,tourneys,games,wins,losses,win%,GDC1,KQXV,BB1,GDC2,Coro17s,KQXX,Camp17,BB2,Coro17f,CC1,GDC3,BnB2,MCS-MPLS,Coro18s,MCS-CHI,KQXXV,MCS_KC,MGF1,HH1,MCS-CBUS,BB3,CHA_HT,CC2,QGW19,KQC3,GDC4,BnB3,MAD420,Coro19,GFT,KQ30,Camp19,MGF2,ECC1,BBrawl4,BB4,HH2,CC3,QGW20,GDC1,KQXV,BB1,GDC2,Coro17s,KQXX,Camp17,BB2,Coro17f,CC1,GDC3,BnB2,MCS-MPLS,Coro18s,MCS-CHI,KQXXV,MCS_KC,MGF1,HH1,MCS-CBUS,BB3,CHA_HT,CC2,QGW19,KQC3,GDC4,BnB3,MAD420,Coro19,GFT,KQ30,Camp19,MGF2,ECC1,BBrawl4,BB4,HH2,CC3,QGW20
3 Dollar PBRs 4,,-2.635209427761808,1,12,1,11,0.08,,,,,,,,,,,,,,,,,,,,,,,,QGW19 / 3 Dollar PBRs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808
3 Dollar PBRs 5,,-2.635209427761808,1,12,1,11,0.08,,,,,,,,,,,,,,,,,,,,,,,,QGW19 / 3 Dollar PBRs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808,-2.635209427761808
"4:35 blaze it...Sorry, traffic was crazy 10",,-14.560990649060297,1,24,1,23,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAD420 / 4:35 blaze it...Sorry, traffic was crazy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297,-14.560990649060297
"4:35 blaze it...Sorry, traffic was crazy 5",,-14.560990649060281,1,24,1,23,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAD420 / 4:35 blaze it...Sorry, traffic was crazy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281,-14.560990649060281
Aaron,KC,5.074682211772476,1,10,3,7,0.30,,,,,,,,,,,,,,,,,MCS_KC / @therealfreddiemercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476,5.074682211772476
Aaron Altman,LA,-1.216349634219494,2,21,3,18,0.14,,,,,,,,,,,,,,,,,,,HH1 / TBD,,,,,,,,,,,,,Camp19 / Metsu Mat ✌️,,,,,,,,,,,,,,,,,,,,,,,,,,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,0.5186259521478185,-1.216349634219494,-1.216349634219494,-1.216349634219494,-1.216349634219494,-1.216349634219494,-1.216349634219494,-1.216349634219494,-1.216349634219494
Aaron Bobby,JAX,13.701562165092335,3,87,29,58,0.33,,,,,,,,,,,,,,,,,,,,,,,,QGW19 / Garbage Day,,,,,,,,,,,,BB4 / Dumpster (J)Divers,,,QGW20 / Dumpster (J) Divers,,,,,,,,,,,,,,,,,,,,,,,,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,4.844655762833831,11.652128576810831,11.652128576810831,11.652128576810831,13.701562165092335
Aaron Carter,CLT,1.0942553265151957,1,28,2,26,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BB4 / Sydney's Side Bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0942553265151957,1.0942553265151957,1.0942553265151957,1.0942553265151957
Aaron Dimet,SF,12.291739244282073,1,28,15,13,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC3 / Chill Chill Chill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.291739244282073,12.291739244282073
Aaron Goldberg,CHI,28.006843929549614,24,715,485,230,0.68,GDC1 / SPORTS (CHI),KQXV / Pizza on my Nikes,BB1 / Hot Dogs,,Coro17s / Queen Eggs & Fam,KQXX / CREEPS,Camp17 / #xXxDingersOutxXx,BB2 / Spyglass,,CC1 / Sedona My Face,,BnB2 / Bonus Dab,,Coro18s / 2 Hot 2 Dogs,MCS-CHI / Crutch City,KQXXV / Pizza on my Nikes,MCS_KC / Jazz!,,,MCS-CBUS / Ninny Bong,BB3 / The Yung Knucks,,CC2 / Sedona MySpace,,KQC3 / Mr. Tenders,GDC4 / Surprise!,BnB3 / A Few Good Men: You Can't Handle the Buth!,,Coro19 / King Me,,KQ30 / The Yung Knuxxx,,MGF2 / Big Fair Don't Care,,,BB4 / Spicy Milk,,CC3 / Rise Up Lights,,13.152207167008282,21.32814666056076,26.476125208802202,26.476125208802202,26.869319256101647,28.824306853613265,28.138945401472874,28.74915793797698,28.74915793797698,29.422563147170877,29.422563147170877,31.348536249341475,31.348536249341475,31.441612189507683,30.467494117134393,30.805045068005043,28.891904503887336,28.891904503887336,28.891904503887336,30.004682908097138,31.12037401799928,31.12037401799928,29.933209200230458,29.933209200230458,29.849396792190003,30.365624761145973,29.01893640785766,29.01893640785766,29.6658047301314,29.6658047301314,29.14718511643091,29.14718511643091,28.81290114929661,28.81290114929661,28.81290114929661,28.012490169640056,28.012490169640056,28.006843929549614,28.006843929549614
